Resultado,Pedra,Hora
"4.782,00",7,"
        12:34
      "
"6.453,00",12,"
        12:33
      "
"9.080,00",11,"
        12:33
      "
"-1.513,00",9,"
        12:32
      "
"22.987,00",7,"
        12:32
      "
"16.609,00",4,"
        12:31
      "
"10.161,00",2,"
        12:31
      "
"16.981,00",13,"
        12:30
      "
"5.923,00",2,"
        12:30
      "
"10.734,00",11,"
        12:29
      "
"715,00",13,"
        12:29
      "
"13.720,00",4,"
        12:28
      "
"6.132,00",3,"
        12:28
      "
"6.556,00",9,"
        12:27
      "
"10.429,00",3,"
        12:27
      "
"5.410,00",8,"
        12:26
      "
"12.918,00",4,"
        12:26
      "
"14.463,00",6,"
        12:25
      "
"11.962,00",1,"
        12:25
      "
"9.663,00",13,"
        12:24
      "
"6.994,00",5,"
        12:24
      "
"14.212,00",8,"
        12:23
      "
"6.584,00",13,"
        12:23
      "
"13.186,00",1,"
        12:22
      "
"19.376,00",6,"
        12:22
      "
"11.810,00",3,"
        12:21
      "
"5.028,00",2,"
        12:21
      "
"5.825,00",9,"
        12:20
      "
"10.789,00",2,"
        12:20
      "
"15.479,00",4,"
        12:19
      "
"8.261,00",8,"
        12:19
      "
"10.488,00",2,"
        12:18
      "
"6.289,00",3,"
        12:18
      "
"11.673,00",8,"
        12:17
      "
"10.390,00",10,"
        12:17
      "
"12.317,00",9,"
        12:16
      "
"6.360,00",8,"
        12:16
      "
"9.734,00",5,"
        12:15
      "
"-90.568,00",0,"
        12:15
      "
"9.172,00",2,"
        12:14
      "
"11.520,00",14,"
        12:14
      "
"-126.778,00",0,"
        12:13
      "
"8.272,00",13,"
        12:13
      "
"14.048,00",7,"
        12:12
      "
"11.990,00",7,"
        12:12
      "
"11.695,00",9,"
        12:11
      "
"13.404,00",12,"
        12:11
      "
"3.483,00",8,"
        12:10
      "
"12.274,00",3,"
        12:10
      "
"-119.802,00",0,"
        12:09
      "
"4.542,00",14,"
        12:09
      "
"9.216,00",6,"
        12:08
      "
"11.640,00",14,"
        12:08
      "
"9.380,00",7,"
        12:07
      "
